time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-07T02:15:16.330Z,33.508,-116.7986667,2.64,0.43,ml,16,91,0.00458,0.12,ci,ci38352208,2018-11-07T02:18:46.222Z,"10km NE of Aguanga, CA",earthquake,0.27,0.34,0.076,8,automatic,ci,ci
2018-11-07T02:08:50.870Z,33.7216667,-116.8228333,15.34,0.58,ml,16,97,0.09098,0.11,ci,ci38352200,2018-11-07T02:12:40.679Z,"7km ESE of Valle Vista, CA",earthquake,0.35,0.56,0.155,10,automatic,ci,ci
2018-11-07T01:46:30.416Z,60.1741,-140.9217,12.8,1.6,ml,,,,0.92,ak,ak20333993,2018-11-07T01:52:06.573Z,"84km E of Cape Yakataga, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-11-07T01:40:58.454Z,60.8064,-149.8688,33.8,1.5,ml,,,,0.77,ak,ak20333991,2018-11-07T01:43:42.442Z,"45km S of Anchorage, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-11-07T01:32:40.057Z,60.2444,-152.2241,89.2,1.6,ml,,,,0.84,ak,ak20333989,2018-11-07T01:36:28.917Z,"39km SE of Redoubt Volcano, Alaska",earthquake,,0.9,,,automatic,ak,ak
2018-11-07T01:26:37.482Z,60.2909,-143.262,4.8,1,ml,,,,0.78,ak,ak20333984,2018-11-07T02:10:55.158Z,"52km WNW of Cape Yakataga, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2018-11-07T01:19:11.970Z,37.5945,-118.8471667,0.39,0.61,md,6,172,0.01502,0.02,nc,nc73107721,2018-11-07T01:43:14.778Z,"12km ESE of Mammoth Lakes, CA",earthquake,0.49,0.84,0.11,5,reviewed,nc,nc
2018-11-07T01:19:09.580Z,33.2645,-117.0283333,0.21,0.77,ml,10,205,0.3777,0.19,ci,ci38352192,2018-11-07T01:23:01.508Z,"5km N of Valley Center, CA",earthquake,1.89,31.61,0.157,8,automatic,ci,ci
2018-11-07T01:14:50.280Z,37.6315002,-122.4980011,7.6,1.98,md,17,161,0.01926,0.06,nc,nc73107716,2018-11-07T02:16:02.824Z,"2km NNW of Pacifica, CA",earthquake,0.38,0.48,0.26,14,automatic,nc,nc
2018-11-07T01:11:31.101Z,59.5523,-153.3116,101.3,2.2,ml,,,,0.66,ak,ak20333977,2018-11-07T01:23:52.621Z,"87km WSW of Anchor Point, Alaska",earthquake,,0.4,,,automatic,ak,ak
