time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-06T20:56:24.470Z,35.8991661,-120.4293365,2.72,1.23,md,8,128,0.006726,0.2,nc,nc73107621,2018-11-06T21:16:03.491Z,"0km ENE of Parkfield, CA",earthquake,2.71,2.11,,1,automatic,nc,nc
2018-11-06T20:54:49.290Z,33.5018333,-116.7761667,2.87,0.73,ml,31,38,0.02278,0.18,ci,ci38351784,2018-11-06T21:10:56.360Z,"10km NE of Aguanga, CA",earthquake,0.23,0.65,0.124,20,reviewed,ci,ci
2018-11-06T20:52:37.520Z,33.4976667,-116.778,3.86,1.13,ml,42,31,0.02374,0.15,ci,ci38351776,2018-11-06T21:43:20.190Z,"10km NE of Aguanga, CA",earthquake,0.14,0.36,0.106,24,reviewed,ci,ci
2018-11-06T20:49:23.720Z,36.6761667,-121.304,4.25,1.12,md,24,106,0.06573,0.08,nc,nc73107616,2018-11-07T00:58:02.870Z,"13km S of Tres Pinos, CA",earthquake,0.3,1.11,0.276,20,reviewed,nc,nc
2018-11-06T20:37:26.820Z,33.1873333,-115.606,3.56,1.58,ml,34,43,0.01273,0.21,ci,ci38351728,2018-11-06T21:34:22.726Z,"10km SW of Niland, CA",earthquake,0.21,0.17,0.2,34,reviewed,ci,ci
2018-11-06T20:35:50.850Z,46.6725,-121.880166666667,7.25,1.02,ml,13,143,,0.17,uw,uw61502696,2018-11-06T22:18:33.680Z,"17km WNW of Packwood, Washington",earthquake,1.11,0.61,0.164566526270743,8,reviewed,uw,uw
2018-11-06T20:30:18.610Z,-7.3064,123.8041,490.37,4.7,mb,,39,2.037,0.94,us,us2000i7pt,2018-11-06T20:41:20.040Z,"176km NE of Palue, Indonesia",earthquake,10.9,11.4,0.142,15,reviewed,us,us
2018-11-06T20:26:25.120Z,39.6093333,-121.56,-0.16,1.75,md,8,168,0.06051,0.09,nc,nc73107606,2018-11-06T23:10:22.110Z,"11km N of Oroville, CA",quarry blast,0.63,31.61,0.236,13,reviewed,nc,nc
2018-11-06T20:26:16.916Z,37.502,-117.72,0,0.6,ml,10,128.55,0.241,0.1647,nn,nn00664559,2018-11-07T02:05:47.250Z,"48km WSW of Goldfield, Nevada",earthquake,,0,0.2,9,reviewed,nn,nn
2018-11-06T20:18:22.662Z,64.5426,-149.299,15.7,1,ml,,,,0.31,ak,ak20333721,2018-11-06T20:27:00.732Z,"9km WSW of North Nenana, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-11-06T20:18:10.940Z,19.4718,-65.6358,30,3.26,md,16,314,1.246,0.23,pr,pr2018310007,2018-11-06T20:42:51.530Z,"117km N of Vieques, Puerto Rico",earthquake,1.38,16,0.42,13,reviewed,pr,pr
2018-11-06T20:14:16.070Z,-21.7904,-68.6986,130.13,4.6,mb,,36,0.505,1.39,us,us2000i7pa,2018-11-06T23:02:44.040Z,"78km NNE of Calama, Chile",earthquake,6.6,4.5,0.129,18,reviewed,us,us
2018-11-06T20:09:20.334Z,61.364,-141.0652,23.2,1,ml,,,,0.17,ak,ak20333719,2018-11-06T20:14:54.952Z,"162km NNE of Cape Yakataga, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-11-06T19:58:54.320Z,33.5003333,-116.7971667,4.15,1.19,ml,48,26,0.0123,0.16,ci,ci38351680,2018-11-06T20:37:01.180Z,"9km NE of Aguanga, CA",earthquake,0.14,0.37,0.143,23,reviewed,ci,ci
2018-11-06T19:57:58.660Z,59.3517,-142.8097,10.7,1.6,ml,,,,1.29,ak,ak20333717,2018-11-06T20:01:28.990Z,"82km SSW of Cape Yakataga, Alaska",earthquake,,2.9,,,automatic,ak,ak
2018-11-06T19:46:37.688Z,38.3855,-118.9004,7.8,1.3,ml,14,67.88,0.128,0.1836,nn,nn00664514,2018-11-07T02:05:24.660Z,"28km WSW of Hawthorne, Nevada",earthquake,,3.1,0.08,3,reviewed,nn,nn
2018-11-06T19:40:17.262Z,39.8913,-120.4404,13.1,1.2,ml,10,80.9,0.122,0.1543,nn,nn00664558,2018-11-07T02:05:45.381Z,"9km NNE of Portola, California",earthquake,,1.7,1.05,4,reviewed,nn,nn
2018-11-06T19:37:46.030Z,37.6141667,-118.8188333,5.16,0.42,md,15,197,0.02104,0.05,nc,nc73107581,2018-11-06T21:26:03.037Z,"14km WNW of Toms Place, CA",earthquake,1.2,0.91,0.284,12,reviewed,nc,nc
2018-11-06T19:28:11.480Z,37.7171667,-122.1216667,5.38,2.53,md,96,28,0.00723,0.11,nc,nc73107571,2018-11-07T04:04:24.329Z,"3km ESE of San Leandro, CA",earthquake,0.09,0.15,0.149,84,reviewed,nc,nc
2018-11-06T19:18:01.080Z,36.0188333,-117.6966667,2.52,0.95,ml,20,61,0.05597,0.07,ci,ci38351616,2018-11-06T20:00:02.982Z,"21km ENE of Little Lake, CA",earthquake,0.1,0.15,0.171,11,reviewed,ci,ci
2018-11-06T19:17:45.137Z,39.6824,-119.892,5.3,-0.2,ml,5,155.58,0.092,0.0564,nn,nn00664506,2018-11-07T02:05:19.183Z,"6km NW of Lemmon Valley, Nevada",earthquake,,8.7,0.19,2,reviewed,nn,nn
2018-11-06T19:13:56.937Z,60.0321,-141.5314,0,1.2,ml,,,,1.87,ak,ak20333713,2018-11-06T19:19:50.674Z,"50km E of Cape Yakataga, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-11-06T19:13:10.930Z,38.7868347,-122.7631683,0.97,1.35,md,14,66,0.01622,0.03,nc,nc73107561,2018-11-06T21:59:03.312Z,"1km NNW of The Geysers, CA",earthquake,0.22,0.54,0.06,4,automatic,nc,nc
2018-11-06T19:12:45.330Z,33.7148333,-116.812,15.52,0.68,ml,20,182,0.08163,0.18,ci,ci38351592,2018-11-06T19:25:29.120Z,"8km ESE of Valle Vista, CA",earthquake,0.6,0.54,0.088,12,reviewed,ci,ci
2018-11-06T19:00:38.610Z,60.3058,-143.0088,9.6,0.5,ml,,,,0.21,ak,ak20333712,2018-11-06T20:52:21.671Z,"41km NW of Cape Yakataga, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2018-11-06T18:57:56.050Z,34.107,-117.477,9.31,1.22,ml,33,43,0.03258,0.13,ci,ci38351568,2018-11-06T19:20:05.844Z,"2km WNW of Fontana, CA",earthquake,0.19,0.34,0.113,38,reviewed,ci,ci
2018-11-06T18:54:19.030Z,18.6255,-66.8588,17,2.32,md,4,312,0.2979,0.09,pr,pr2018310006,2018-11-06T19:10:05.584Z,"15km NNW of Hatillo, Puerto Rico",earthquake,0.89,0.64,0.08,3,reviewed,pr,pr
2018-11-06T18:53:52.870Z,53.7901667,-166.6355,12.66,0.12,ml,5,218,0.06929,0.17,av,av70810074,2018-11-07T00:44:44.400Z,"11km SW of Unalaska, Alaska",earthquake,1.16,1.43,0.134,5,reviewed,av,av
2018-11-06T18:46:46.752Z,60.1299,-141.2379,4.3,1.3,ml,,,,0.89,ak,ak20333715,2018-11-06T19:25:03.069Z,"66km E of Cape Yakataga, Alaska",earthquake,,15.5,,,reviewed,ak,ak
2018-11-06T18:44:29.218Z,59.9604,-152.1618,74,1.3,ml,,,,0.46,ak,ak20333592,2018-11-06T18:49:55.289Z,"27km NW of Anchor Point, Alaska",earthquake,,1.2,,,automatic,ak,ak
2018-11-06T18:43:14.740Z,38.7879982,-122.7638321,1.64,1.3,md,15,65,0.01732,0.03,nc,nc73107556,2018-11-06T21:31:03.101Z,"1km NNW of The Geysers, CA",earthquake,0.22,0.45,0.14,5,automatic,nc,nc
2018-11-06T18:39:59.620Z,38.8134995,-122.8256683,1.65,1.06,md,14,84,0.005377,0.04,nc,nc73107551,2018-11-06T18:41:35.759Z,"7km NW of The Geysers, CA",earthquake,0.26,0.57,0.1,3,automatic,nc,nc
2018-11-06T18:32:40.520Z,33.6865,-116.7181667,15.77,0.7,ml,28,91,0.02483,0.11,ci,ci38351536,2018-11-06T20:04:37.206Z,"6km S of Idyllwild, CA",earthquake,0.22,0.29,0.14,13,reviewed,ci,ci
